Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Latitude,Longitude,geometry,zipcode,PO
PD201800177139,02/17/2018 04:56:00 PM,20180157793,B,96,Business Check,15,COMMUNITY POLICING,5400.0,OLD HICKORY BLVD ,523B,H,21,36.183,-86.609,POINT (-86.60899999999999 36.183),37076,HERMITAGE
PD201800176537,02/17/2018 11:33:00 AM,0,A,70,Burglary - Residence,11,DISREGARD / SIGNAL 9,700.0,RACHELS TRL ,,H,23,36.205,-86.605,POINT (-86.605 36.205),37076,HERMITAGE
PD201800176484,02/17/2018 10:54:00 AM,20180157324,A,44,Disorderly Person,6,ASSISTED OTHER UNIT,1400.0,PRINCETON PL ,523A,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800175416,02/17/2018 12:33:00 AM,20180156347,C,40,Suspicious Person,2,"ARREST, CUSTODIAL OR CITATION",3800.0,BELL RD ,523C,H,21,36.159,-86.615,POINT (-86.61499999999999 36.159),37076,HERMITAGE
PD201800176265,02/17/2018 08:42:00 AM,20180157126,A,43,Want Officer for Investigation / Assistance,3,CITATION - TRAFFIC,300.0,GRIFFIN PL ,525A,H,25,36.218,-86.593,POINT (-86.59299999999999 36.218),37076,HERMITAGE
PD201800175408,02/17/2018 12:30:00 AM,0,C,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,1400.0,PRINCETON PL ,,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800177581,02/17/2018 07:10:00 PM,20180158164,B,43,Want Officer for Investigation / Assistance,2,"ARREST, CUSTODIAL OR CITATION",5700.0,OLD HICKORY BLVD ,4563,H,23,36.172,-86.601,POINT (-86.601 36.172),37076,HERMITAGE
PD201800177985,02/17/2018 09:10:00 PM,20180158523,B,93,Traffic Violation,6,ASSISTED OTHER UNIT,0.0,OLD HICKORY BLVD & I40 E,3825,H,21,36.17,-86.601,POINT (-86.601 36.17),37076,HERMITAGE
PD201800178588,02/18/2018 12:52:00 AM,0,C,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,3800.0,CENTRAL PKE ,,H,21,36.174,-86.608,POINT (-86.60799999999999 36.174),37076,HERMITAGE
PD201800179009,02/18/2018 05:15:00 AM,20180159418,C,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,5153,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800177566,02/17/2018 07:06:00 PM,0,B,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,1800.0,OAKWELL FARMS LN ,,H,21,36.167,-86.615,POINT (-86.61499999999999 36.167),37076,HERMITAGE
PD201800178998,02/18/2018 05:05:00 AM,20180159410,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & TRENTON ,521C,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800178797,02/18/2018 02:20:00 AM,20180159219,C,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,2000.0,HERMITAGE PARK DR ,3332,H,23,36.167,-86.595,POINT (-86.595 36.167),37076,HERMITAGE
PD201800178414,02/17/2018 11:48:00 PM,20180158972,,71,Burglary - Non-Residence,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,521C,H,21,36.193,-86.619,POINT (-86.619 36.193),37076,HERMITAGE
PD201800177459,02/17/2018 06:36:00 PM,20180158064,B,15,Community Policing Activity,12,LOCATION/BUILDING SECURE,3700.0,BELL RD ,2945,H,33,36.157,-86.619,POINT (-86.619 36.157),37076,HERMITAGE
